,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,13,2,3,4,5,6,7,8,9,10,11,12,-1,13,14,13,13,13,13,13,13,13,13,13,13,13,-1,13,13,13,2,3,4,2,3,2,3,4,1,2,3,41,44,13,44,46,46,46,46,13,52,13,52,54,54,54,54,13
1,13,2,3,4,5,6,7,8,9,10,11,12,-1,13,14,13,13,13,13,13,13,13,13,13,13,13,-1,13,13,13,2,3,4,2,3,2,3,4,1,2,3,41,44,13,44,46,46,46,46,13,52,13,52,54,54,54,54,13
2,13,2,3,4,5,6,7,8,9,10,11,12,-1,13,14,13,13,13,13,13,13,13,13,13,13,13,-1,13,13,13,2,3,4,2,3,2,3,4,1,2,3,41,44,13,44,46,46,46,46,13,52,13,52,54,54,54,54,13
3,13,2,3,4,5,6,7,8,9,10,11,12,-1,13,14,13,13,13,13,13,13,13,13,13,13,13,-1,13,13,13,2,3,4,2,3,2,3,4,1,2,3,41,44,13,44,46,46,46,46,13,52,13,52,54,54,54,54,13
4,13,2,3,4,5,6,7,8,9,10,11,12,-1,13,14,13,13,13,13,13,13,13,13,13,13,13,-1,13,13,13,2,3,4,2,3,2,3,4,1,2,3,41,44,13,44,46,46,46,46,13,52,13,52,54,54,54,54,13
5,13,2,3,4,5,6,7,8,9,10,11,12,-1,13,14,13,13,13,13,13,13,13,13,13,13,13,-1,13,13,13,2,3,4,2,3,2,3,4,1,2,3,41,44,13,44,46,46,46,46,13,52,13,52,54,54,54,54,13
6,13,2,3,4,5,6,7,8,9,10,11,12,-1,13,14,13,13,13,13,13,13,13,13,13,13,13,-1,13,13,13,2,3,4,2,3,2,3,4,1,2,3,41,44,13,44,46,46,46,46,13,52,13,52,54,54,54,54,13
7,13,2,3,4,5,6,7,8,9,10,11,12,-1,13,14,13,13,13,13,13,13,13,13,13,13,13,-1,13,13,13,2,3,4,2,3,2,3,4,1,2,3,41,44,13,44,46,46,46,46,13,52,13,52,54,54,54,54,13
8,-1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,4,2,3,2,3,4,1,2,3,41,44,-1,44,46,46,46,46,-1,-1,-1,52,54,54,54,54,-1
9,-1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,4,2,3,2,3,4,1,2,3,41,44,-1,44,46,46,46,46,-1,-1,-1,52,54,54,54,54,-1
A,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
B,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
C,1,2,3,4,5,6,7,8,9,10,11,12,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,2,3,4,2,3,2,3,4,1,2,3,41,44,1,44,46,46,46,46,1,52,1,52,54,54,54,54,1
